timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-12-26,24712.47000000,26867.03000000,24500.00000000,26493.39000000,24712.47000000,26867.03000000,24500.00000000,26493.39000000,97806.51338600,97806.51338600
2020-12-24,23232.39000000,23794.43000000,22703.42000000,23729.20000000,23232.39000000,23794.43000000,22703.42000000,23729.20000000,69013.83425200,69013.83425200
2020-12-22,22719.88000000,23837.10000000,22353.40000000,23810.79000000,22719.88000000,23837.10000000,22353.40000000,23810.79000000,87033.12616000,87033.12616000
2020-12-20,23821.60000000,24295.00000000,23060.00000000,23455.52000000,23821.60000000,24295.00000000,23060.00000000,23455.52000000,76690.14568500,76690.14568500
2020-12-18,22797.15000000,23285.18000000,22350.00000000,23107.39000000,22797.15000000,23285.18000000,22350.00000000,23107.39000000,79646.13431500,79646.13431500
2020-12-16,19426.43000000,21560.00000000,19278.60000000,21335.52000000,19426.43000000,21560.00000000,19278.60000000,21335.52000000,114306.33557000,114306.33557000
2020-12-14,19174.99000000,19349.00000000,19000.00000000,19273.14000000,19174.99000000,19349.00000000,19000.00000000,19273.14000000,47257.20129400,47257.20129400
2020-12-12,18036.53000000,18948.66000000,18020.70000000,18808.69000000,18036.53000000,18948.66000000,18020.70000000,18808.69000000,49519.97843200,49519.97843200
2020-12-10,18541.29000000,18557.32000000,17911.12000000,18254.63000000,18541.29000000,18557.32000000,17911.12000000,18254.63000000,52890.67509400,52890.67509400
2020-12-08,19166.90000000,19294.84000000,18200.00000000,18324.11000000,19166.90000000,19294.84000000,18200.00000000,18324.11000000,61626.94761400,61626.94761400
2020-12-06,19147.66000000,19420.00000000,18857.00000000,19359.40000000,19147.66000000,19420.00000000,18857.00000000,19359.40000000,37043.09186100,37043.09186100
2020-12-04,19422.34000000,19527.00000000,18565.31000000,18650.52000000,19422.34000000,19527.00000000,18565.31000000,18650.52000000,71283.66820000,71283.66820000
2020-12-02,18764.96000000,19342.00000000,18330.00000000,19204.09000000,18764.96000000,19342.00000000,18330.00000000,19204.09000000,75911.01347800,75911.01347800
2020-11-30,18185.00000000,19863.16000000,18184.99000000,19695.87000000,18185.00000000,19863.16000000,18184.99000000,19695.87000000,115463.46688800,115463.46688800
2020-11-28,17139.53000000,17880.49000000,16865.56000000,17719.85000000,17139.53000000,17880.49000000,16865.56000000,17719.85000000,64910.69997000,64910.69997000
